,edge,source,target
1018,Cooperate With,Operator,Applicable  Book
1019,Permit,Hemispherx,Scien
1020,Perform,Hemispherx,Audit
1021,Review Standard,Hemispherx,Operating Quality Control Procedure
1022,I,General  Review,20 Business Day
1023,Make,Scien,Reasonable  Effort
1024,Communicate To,Hemispherx,Scope
1025,Be Available,Documentation,Retention Period
1026,Conducted By,Monsanto,Right
1027,Have,Monsanto,Right
1028,Be At,Audit,Cost
1029,Provide,Monsanto,Written  Notice
1030,Keep Such,Remarketing Agent,Such  Book
1031,Be For,Cost,Such  Inspection
1032,Make Available,Record,Accuracy
1033,Agree,Subcontractor,Manufacturer
1034,Provide,Subcontractor,Schedule
1035,Review At,Manufacturer,Routine  Report
1036,Paid By,Auditfind,Reasonably  Fee
1037,Make,Detto,Physical Set Up
1038,Have,Pivx,Right
1039,Agree,Reseller,Right
1040,Agree,Reseller,Such  Deficiency
1041,Enter,Licensor,Location
1042,Provide,Licensor,Reasonable  Assistance
1043,Provide,Pnc,Good Faith Reason
1044,Use,Supplier,Reasonable  Effort
1045,Use,Supplier,Reasonable  Effort
1046,Make,Party,Also  Book
1047,Undertaken By,Other  Party,Legitimate  Concern
1048,Have,Fusion,Right
1049,Conform To,Cpdc,Right
1050,Retain,Cpdc,Accurate  Record
1051,Accompanied By,Therein;  >,Financial  Record
1052,Have,Cpdc,Right
1053,Inspect,Intersect,Lot
1054,Perform,Thereafter  Sutrovax,Site Audit
1055,Require More,Reasonable Advance Notice,More
1056,Evaluate,5.1.6,Implementation
1057,Is Responsible,Sutro,16  Foregoing
1058,Provide,Sutro,Sutrovax
1059,Have,Then  Vericel,Right
1060,Accommodate,Healthgate,Oneemployee
1061,Have,Written  Notice,Right  Toconduct
1062,Make Available,Healthgate,Orthe Inspection
1063,Have,Publisher,Right
1064,Allow,Healthgate,Site
1065,Have,Bioamber,Right
1066,Occur,Such  Audit,Reasonable Business Hour
1067,Request,Netgear,Acces
1068,Review,Netgear,Record
1069,Have,Licensor,Right
1070,Have,Licensee,Right
1071,Assign,Ma,Any
1072,Assign,Roger,Right
1073,Assign,Licensee,Otherwise  Any
1074,Have,Licensee,Right
1075,Sublicense,Licensee,Any
1076,Assign,Party,Right
1077,Assign,Party,Agreement
1078,Be Null,Attempt,Agreement
1079,Assign,Party,Agreement
1080,Given,Theother  Party,Written  Notice
1081,Terminated By,Death,Eight 8) Week
1082,Assign,Below  Musclepharm,Otherwise  Right
1083,Voluntarily,Party,Otherwise  Right
1084,Permitted,License,Right
1085,Obtain In,Such  Party,Agreement
1086,Assign,Party,Otherwise  Agreement
1087,Assign,Exxonmobil,Agreement
1088,Understood,Purported  Assignment,Right
1089,Sub-,Distributor,License  Transfer
1090,Give,Supplier,Notice
1091,Sub,Distributor,Contract
1092,Assign,Party,Otherwise  Any
1093,Assign,Distributor,Any
1094,Assign To,Distributor,Duty
1095,Assign,Party,Right
1096,Assign,Hydraspin,Agreement
1097,Provided,Such Affiliated Company,A
1098,Release,Such  Assignment,Assigning Party
1099,Assign,Party,Agreement
1100,Assign,Party,Agreement
1101,Require,Assignment,Consent
1102,Terminate In,Member,Article Viii
1103,Withheld,Investor,Right
1104,Assign,Party,Right
1105,Assign,Village Media Company,Otherwise  Any
1106,Assign,Vyera,Agreement
1107,Understood,Other  Assignment,Financially  Obligation
1108,Sublicense To,Company,Right
1109,Binding Upon,Agreement,Right
1110,Assign,Party,Otherwise  Any
1111,Assign,Party,Right
1112,Binding Upon,Agreement,Respective  Assign
1113,Have,Party,Right
1114,Considered A,Dexcel,Agreement
1115,Assign,Party,Agreement
1116,Be Void,That,Term
1117,Ha,Party,Right
1118,Assign,Programmer,Agreement
1119,Assign,Party,Right
1120,Assign,Party,Agreement
1121,Assign,Only  Supplier,Agreement
1122,Assign,Customer,Agreement
1123,Provided,Unreasonably  Merger,Comparable  Assignment
1124,Desire,Party,Such  Assignment
1125,Grant,Mmt,Sublicense
1126,Assign,Supplier,Agreement
1127,Use Third,Cht,Third  Party
1128,Provided,Party,Right
1129,Assign,Channel Partner,Agreement
1130,Assigned,Agreement,Consent  Transfer
1131,Assign,Party,Agreement
1132,Have,Newegg,Right
1133,Transfer,Manufacturer,Any
1134,Transfer,Customer,Freely  Right
1135,Deemed,Transfer,Assignment
1136,Assigned In Whole,Seller,All
1137,Assigned,Seller,Agreement
1138,Assign,Party,Agreement
1139,Be Void,Licensed  User,Agreement
1140,Assign,Licensee,Otherwise  Agreement
1141,Omitted,Agreement,Agreement
1142,Be Terminable,Agreement,Agreement
1143,Sublicense,Licensee,Part
1144,Assign,Company,Agreement
1145,Assign,Acsi,Agreement
1146,Assign,Party,Agreement
1147,Assign,Party,Right
1148,Transfer,Herein  Party,Right
1149,Assign,Party,Agreement
1150,Assign,Party,Agreement
1151,Assign,Attemptto,Agreement
1152,Transfer,However  Verticalnet,Agreement
1153,Provided,However  Party,Agreement
1154,Transfer,Herein  Party,Right
1155,Assigned,Assigning Party,Notice
1156,Assign,Party,Otherwise  All
1157,Assign,Party,Right
1158,Have,Party,Right
1159,Assign,Network Affiliate,Any
1160,Be Assignable,Agreementshall,Expressly  Obligation
1161,Assign,Party,Agreement
1162,Assign,Berkshire,Agreement
1163,Sublicense,Company,Licensed Mark
1164,Assign,Party,Agreement
1165,Assign,Party,Any
1166,Assign,Party,Right
1167,Assign,Party,Agreement
1168,Assign,Developer,Obligation
1169,Apply,15.2.9,Mutatis Mutandi
1170,Entitled,I  Sale,Freely  Any
1171,Constitute,Following  Event,Default
1172,Has Unique,Dr. Murray,Unique  Qualification
1173,Sell,Unreasonably  Party,Such  Assignment
1174,Use,Abbvie,One
1175,Assign,Party,Right
1176,Assign,Developer,Agreement
1177,Grant,T&B,Third  License
1178,Assign,Party,Agreement
1179,Assign,Party,Agreement
1180,Transferred,However  Liquidmetal,Right
1181,Assign,However  Licensor,Agreement
1182,Sell,Hereto  Party,Written  Consent
1183,Sell,Sfj,Otherwise  Agreement
1184,Have,Sanofi,Right
1185,Assign,Party,Agreement
1186,Assign,Sanofi,Agreement
1187,Assign,Party,Agreement
1188,Assigned,Unreasonably  Sekisui,Agreement
1189,Ha,Licensee,Right
1190,Assigned,Licensor,Hereunder
1191,Assign,Party,Any
1192,Have,Licensee,Right
1193,Sublicense,Licensee,Any
1194,Assign,Party,Right
1195,Assign,Party B,Right
1196,Have,Herein  Party,Right
1197,I,Other  Party,Which
1198,Have,Party,Right
1199,Be Null,Purported  Assignment,Force
1200,Have,Distributor,Right
1201,Provided,Staar,Any
1202,Included In,Other  Party,Acces
1203,Be Null,Other  Party,Agreement
1204,Assign,Arizona,Any
1205,Permitted,Third Party Contractor,Right
1206,Be Void,Licensee,Purported  Assignment
1207,Assigned,Licensor,Hereunder
1208,Wish,Papa John,-
1209,Done If,Only  Abg,Approval Therefor
1210,Make,You,Transfer
1211,Assign,Ef,Agreement
1212,Assign,Distributor,Right
1213,Have,Customer,Right
1214,Assign,Herein  Party,Obligation
1215,Provided,However  Premier,Agreement
1216,Subcontract,Consultant,Portion
1217,Delegate,Party,Performance
1218,Sell,Consultant,Right
1219,Is Personal,Agreement,Right
1220,Be Void,Consented  Assignment,Breach
1221,Be Void,Transferwithout,Breach
1222,Assign,Party,Otherwise  Right
1223,Entitled,Any,All
1224,Be,Agreement,Power
1225,Subcontract,Lmg,Any
1226,Make,You,Directly  Transfer
1227,Inure To,Agreement,Respective  Chapter
1228,Permitted By,It,Notice
1229,Assign,Provider,Otherwise  Agreement
1230,Provided,Agreement,Which
1231,Assign,Sub Advisor,Right
1232,Subcontract,Cro,Part
1233,Assign,Cro,Right
1234,Assign,Party,Agreement
1235,Assign,Right,Hereto  It
1236,Make,However  Party,Hereto Collateral Assignment
1237,Assign,Service Recipient,Right
1238,Assign,Service Provider,Right
1239,Assigned By,Hereof Subject Tda,Affiliated  Parent
1240,Assign,Party,Any
1241,Terminate,Iso,Agreement
1242,Be Null,Theassigning  Party,Agreementother
1243,Assigned,Consent,Hereunder
1244,Have,Sponsor,Right
1245,Assign,Party,Right
1246,Assign,Party,Agreement
1247,Assign,Party,Agreement
1248,Be Null,Attempt,Other
1249,Sell,Party,Agreement
1250,Agreement,Consent,Assignment
1251,Assign,Party,Any
1252,Assign,Party,Agreement
1253,Be Null,Attempt,Other
1254,Assign,Party,Agreement
1255,Assign,Contractor,Agreement
1256,Assign,Party,Right
1257,Relieved Of,Thethird Party,Written  Notice
1258,Assigned By,I  Company,Assignment
1259,Assign,And(B,All
1260,Sell,Party,-
1261,Soassigned,Further  Assignee,Agreement
1262,Be,Agreement,Power
1263,Assigned By,Customer,Financial  Capital
1264,Assigned By,Customer,Freely  Agreement
1265,Assign,Party,Right
1266,Assign,Msl,All
1267,Assign,Msl,Anyright
1268,Assign,Msl,Agreement
1269,Assign,Party,Hereto  Right
1270,Assign,Party,Agreement
1271,Assign,Party,Agreement
1272,Assign,Mcdatum,Agreement
1273,Assign,Nat,Written Withoutmedianet Group Consent
1274,Assigned,Consequently  Agreement,All
1275,Assign,Party,Agreement
1276,Transfer,Party,Right
1277,Assign,12.2  Party,Right
1278,Assign,Party,Respective  Right
1279,Assigned By,Party,Agreement
1280,Agree,Bellicum,Written  Consent
1281,Provided,That,All
1282,Assign,Fcc,Right
1283,Agree,Party,Termination
1284,Assign,Unauthorized  Assignment,Totally  Contract
1285,Ha,Assignee,Financial  Capacity
1286,Ha,Assignee,Crude
1287,Sell,Party,Agreement
1288,Assign,Party,Right
1289,Provided,However  Right,Assign
1290,Assign,Otherwise  Shipper,Agreement
1291,Grant,Green Cros,Sublicense
1292,Assign,Party,Right
1293,Transfer,Beforehand Party B,Cooperation Busines
1294,Deemed A,Party B,Breaching  Liability
1295,Assign,Party,Right
1296,Subcontract,Party,Only  Activity
1297,Sublicense,Bli,Otherwise  Right
1298,Withheld,Party,Agreement
1299,Assign,Below Nantz Communication,Any
1300,Hereunder,Right,Company
1301,Assign,Party,Right
1302,I,Agreement,Right
1303,Subcontract With,Company,Otherwise  Affiliate
1304,Use,Company,Affiliate
1305,Assigned,However  Janssen,Agreement
1306,Assign,However  Party,Any
1307,Assign,King,Otherwise  Any
1308,Be Assignable,Agreement,Herein
1309,Granted,Franchise,Area
1310,Hereunder,Right,Right
1311,Grant,You,Such  Right
1312,Sell,Legal  Which,Directly  Interest
1313,Be Null,Purported  Assignment,Material  Breach
1314,Transfer,Disposition,Interest
1315,Terminated At,Who,B  Termination
1316,Bind,Limited Power,Respective  Successor
1317,Assigned By,However  Party,Agreement
1318,Have,Party,Right
1319,Have,Nvo,Right
1320,Provided,However  Party,Unreasonably  Consent
1321,Binding Upon,Agreement,Respective  Assign
1322,Assigned By,Which,Such  Conduct
1323,Assigned By,Unreasonably  Party,Agreement
1324,Require,Assignment,Consent
1325,Assign,Agency,Agreement
1326,Assign,Party,Otherwise  Any
1327,Be Void,Party,Otherwise  Any
1328,Provided,Agreement,Respective  Assign
1329,Subcontract,Md Anderson,Any
1330,Assign,Party,Agreement
1331,Transfer,Party,Right
1332,Rights Under,Party,Otherwise  Right
1333,Assign,Subcontractor,Right
1334,Are Of,Service,Any
1335,Is Specific,License,Hereunder
1336,Assign,Intricon,Any
1337,Assign,Dynamic  Hearing,Any
1338,Assign,Lbio,Agreement
1339,Acknowledge,Md Anderson,Otherwise  Consultant
1340,Assign,Party,Agreement
1341,Be,Case,Any
1342,Subcontract,Company,Any
1343,Assign,Party,Otherwise  Any
1344,Binding Upon,Party,Otherwise  Any
1345,Assign,Party,Any
1346,Have,Party,Right
1347,Be Void,Unauthorized  Attempt,Portion
1348,Engage,Ontochem,One  Subcontractor
1349,Assign,Party,Otherwise  Agreement
1350,Assigned,However  Party,Agreement
1351,Assign,Party,Agreement
1352,Be Assignable,Agreement,Agreement
1353,Assign,Party,Right
1354,Assign,None,Any
1355,Binding Upon,However  Party,Legal  Assign
1356,Assign,Party,Whole
1357,Have,However  Cere,Right
1358,Have,Party,Right
1359,Have,However  Cere,Right
1360,Have,Party,Right
1361,Assign,Neither,Hereto  Right
1362,Assign,Arizona,Any
1363,Binding Upon,Respective  Successor,Assign
1364,Assign,Herc,Obligation
1365,Sell,Party,Otherwise  Any
1366,Assign,Party,Ip Agreement
1367,Cause,Applicable Seller Party,Licensed  Ip
1368,Cause,2.1(D  Purchaser,Applicable Purchaser Assignee
1369,Assign,Party,Agreement
1370,Assigned Ordelegated,However  Agreement,Omitted Alliance Agreement
1371,Assign,Distributor,Right
1372,Assign,Distributor,Agreement
1373,Be,Assignment,Product
1374,Assign,Distributor,All
1375,I,Agreement,Product
1376,Require,Other  Assignmentby,Written  Consent
1377,Discontinue,"Intheeventeitherparty(A)Becomesadjudicated Insolvent,(B",Busines
1378,Omitted,Distributor,Itsbusiness Asset
1379,Have,Shipper,Right
1380,Be Effective,Assignment,Written  Notice
1381,Assigned In Whole,Party,Contract
1382,Assign,Party,Agreement
1383,Have,Adams Golf,Right
1384,Assign,Ki  Inc.May,Right
1385,Used,Right,Company
1386,Beentitled,Company,Agreement
1387,Have,Tpc,Consolidated Right
1388,Used,Right,Company
1389,Have,Pey Dirt,Right
1390,Assign,Party,Agreement
1391,Assign,Party,Agreement
1392,Be Null,Purported  Assignment,Written  Consent
1393,Transfer,You,Interest
1394,Assign,Noprincipalshalldirectlyor,Legal Orbeneficialequity Interest
1395,Be Void,17.1(K).If  Bkc,Right
1396,Understand,You,Franchise
1397,Be Null,Purported  Assignment,Written  Consent
1398,Covenant,You,Further  That
1399,Intend,You,Reason
1400,Agree,You,Interest
1401,Considered In,You,Interest
1402,Constitute,Transfer,Breach
1403,Met Before,Proposed New Owner,Together  Transfer
1404,Pay,You,Amount
1405,Be Responsible,Proposed New Owner,Initial Training Program;(D
1406,Enter Into,Me,Installment Payment
1407,Agree,Proposed New Owner,All
1408,Require,You,Performance
1409,Offered,You,Properly  Opportunity
1410,Be Effective,However  Assignment,Written  Notice
1411,Withheld,Customer,Agreement
1412,Assign,Party,Agreement
1413,Have,Host,Right
1414,Assign,Party,Any
1415,Assign,Party,Agreement
1416,Assign,Party,Agreement
1417,Assign,Customer,Agreement
1418,Transfer,Hereto  Party,Agreement
1419,Provided,However  Party,Agreement
1420,Be Void,Purported  Assignment,Interest
1421,Assign,However  Apollo,Agreement
1422,Withheld,Attempt,Agreement
1423,Deemed Unreasonable,Columbia,Consent
1424,Assign,Party,Any
1425,Assign,Bachem,Agreement
1426,Assign,Bachem,Any
1427,Notify,Iac,First  Approval
1428,Assign,Party,Right
1429,Assign,Party,Any
1430,Have,Party,Right
1431,Make,Operator,Assignment
1432,Make,Owner Shallnot,Assignment
1433,Sell,Licensee,Licensed  Program
1434,Agree,Licensee,Right
1435,Assign,Licensee,Agreement
1436,Be Void,License Right,Agreement
1437,Assign,Sparkling,Omitted>(C)Not  Agreement
1438,Assign,Party,Agreement
1439,Be Null,Service Provider,Pledge
1440,Provided,Assigningparty,Groupmaydecidethat Theassigningpartywill Notremainjointlyandseverallyliablewiththeassigneefortheperformanceofthisagreement
1441,Withheld,Party,Thewhole
1442,Assign,Party,Any
1443,Entitled,Such  Assignment,Right
1444,Assign,Customer,Rights Orobligation
1445,Sell,Company,Right
1446,Make,Operator,Assignment
1447,Make,Owner,Assignment
1448,Assign,Otherwise  Party,Agreement
1449,Assigned,Hemispherx,Agreement
1450,Mean,Event,Any
1451,Have,10.6  Monsanto,Right
1452,Be Subject,Such  Assignee,11.8  >
1453,Transfer,Agent,Right
1454,Assign,Party,Agreement
1455,Inure To,Agreement,Party
1456,Inure To,Assignment,Party
1457,Subject To,20.2  Party,License
1458,Assign,Surgical,Agreement
1459,Assign,Party,Agreement
1460,Assign,Party,Agreement
1461,Binding Upon,Nothing,Right
1462,Assign,Party,Agreement
1463,Be Null,Attempt,Agreement Otherthan
1464,Bindingupon,Party,Right
1465,Assign,22  Party,Agreement
1466,Assigned By,Unreasonably  Ticket,Agreement
1467,Is Personal,Agreement,Any
1468,Assign,Detto,Any
1469,Bind,Agreement,Respective  Successor
1470,Acknowledge,Reseller,Right
1471,Assign,Unreasonably  Reseller,Agreement
1472,Assign,Diversinet,Agreement Atany Agreement Time
1473,Subcontract,Licensor,Any
1474,Transfer,Party,Any
1475,Provided,However  Party,Agreement
1476,Assigned,Unreasonably  Party,Right
1477,Assign,Party,Supply Agreement
1478,Be Assignable,Agreement,Right
1479,Be Void,Party,Other  Party
1480,Transfer,Healthgate,Whole
1481,Assign,Party,Development Agreement
1482,Be Voidable,Which,Duty
1483,Be Voidable,Which,Duty
1484,Assign,However  Licensor,Agreement
1485,Exceed,"15,000).The Option",Fifteen Thousand
1486,Be Void,Attempt,Option
1487,Agree,Customer,Third Party Acces
1488,Said,Of  Asset,Agreement
1489,of,Governing Law,Nevada
1490,of,Governing Law,"Ontario, Canada"
1491,of,Governing Law,Florida
1492,of,Governing Law,New York
1493,of,Governing Law,California
1494,of,Governing Law,Tennessee
1495,of,Governing Law,"England, United Kingdom; Wales, United Kingdom"
1496,of,Governing Law,Delaware
1497,of,Governing Law,Ohio
1498,of,Governing Law,Indiana
1499,of,Governing Law,Texas
1500,of,Governing Law,Michigan
1501,of,Governing Law,Netherlands
1502,of,Governing Law,Iowa
1503,of,Governing Law,Maryland
1504,of,Governing Law,Israel
1505,of,Governing Law,Colorado
1506,of,Governing Law,Alabama
1507,of,Governing Law,Spain
1508,of,Governing Law,Taiwan
1509,of,Governing Law,[* * *]
1510,of,Governing Law,Virginia
1511,of,Governing Law,Kansas
1512,of,Governing Law,Illinois
1513,of,Governing Law,England
1514,of,Governing Law,People's Republic of China; United Nations Convention on Contract for the International Sale of Goods
1515,of,Governing Law,Texas; Singapore; Belgium
1516,of,Governing Law,People's Republic of China
1517,of,Governing Law,Washington
1518,of,Governing Law,Illinois; New York
1519,of,Governing Law,Pennsylvania
1520,of,Governing Law,Germany
1521,of,Governing Law,"Virginia, Texas"
1522,of,Governing Law,Connecticut
1523,of,Governing Law,Georgia
1524,of,Governing Law,[]
1525,of,Governing Law,California; the state in which the breach occurs
1526,of,Governing Law,Arizona
1527,of,Governing Law,Hong Kong
1528,of,Governing Law,United States
1529,of,Governing Law,"British Columbia, Canada"
1530,of,Governing Law,Massachusetts
1531,of,Governing Law,THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946
1532,of,Governing Law,"England and Wales, UK"
1533,of,Governing Law,Beijing
1534,of,Governing Law,India
1535,of,Governing Law,Minnesota
1536,of,Governing Law,Oklahoma
1537,of,Governing Law,New Jersey
1538,of,Governing Law,Papua New Guinea
1539,of,Governing Law,Wisconsin
1540,of,Governing Law,Massachusetts; Netherlands
1541,of,Governing Law,Missouri
1542,of,Governing Law,North Carolina
1543,of,Governing Law,Colombia
1544,of,Governing Law,Arkansas
1545,of,Governing Law,"Province of Ontario, Canada"
1546,of,Governing Law,Republic of Kazakhstan
1547,of,Governing Law,China
1548,of,Governing Law,British Columbia
1549,of,Governing Law,Japan
1550,of,Governing Law,Italy
1551,of,Governing Law,District of Columbia
1552,of,Governing Law,"Victoria, Australia"
1553,of,Governing Law,England and Wales
1554,of,Governing Law,South Dakota
1555,of,Governing Law,"Delaware, Illinois"
1556,of,Governing Law,Louisiana
1557,of,Governing Law,"Nova Scotia, Canada"
1558,of,Governing Law,England; Wales
1559,of,Governing Law,Switzerland
1560,of,Governing Law,Republic of South Africa
1561,of,Governing Law,New York; Massachussets
1562,of,Governing Law,Kentucky
1563,of,Governing Law,California; Hong Kong
1564,of,Governing Law,"British Columbia,Canada"
1565,of,Governing Law,Federal Republic of Germany
