,source,edge,target,SourceType,TargetType,0: Legal_Related_Terms,
,Termination,Not Affect,Liability,0,0,1: ORG,1
,Termination Provision,Be Contained Within,Contract,0,0,2:Person,1
,Cure Of Breach,Is,Termination,0,0,3:GPE,2
,Wrongful Termination,Is,Repudiation Of Contract,0,0,4:State_or_country,
,Termination Clause,Describe,Procedure And Remedy,0,0,5:Product,
,Disclaimer,Specify,Limit Of Liability,0,0,6:Business_Related_Terms,
,Disclaimer,Protect Against,Legal Liability,0,0,7: Legal_Related_Practitioner,
,Copyright Disclaimer,Claim,Ownership Of Original Content,0,0,8: General,
,Copyright Disclaimer,Disclose,Use Of Copyrighted Materials,0,0,9: Contract_Categories,
9,Disclaimer,Protect Against,Copyright Infringement Claim,0,0,,
10,Indemnification,Compensate,Party For Harm,0,0,,
11,Indemnification,Refer To,Indemnity,0,0,,
12,Indemnification,Cover,Direct Claim,0,0,,
13,Indemnification Clause,Protect From,Damage And Lawsuit,0,0,,
14,Indemnification Clause,Consist,Obligation To Indemnify And Defend,0,0,,
15,Wgt'S Liability,Not Exceed,Compensation Paid,0,6,,
16,Distributor,Receive,Compensation,6,6,,
17,Compensation,Not Exceed,Maximum Amount,6,8,,
18,Party,Receive,Reasonable Compensation,0,6,,
19,Infringement,Arise Out Of,Conduct,0,8,,
20,Obligation,Not Apply To,Infringement,0,0,,
21,Infringement,Arise From,Indemnifying Party,0,0,,
22,Company,State,Infringement Of Intellectual Property Right,1,0,,
23,Liability,Arise From,Infingement Of Intellectual Property Right,0,0,,
24,Harm To One'S Right,Is,Infringement,0,0,,
25,Violation Of A Statute,Is,Infringement,0,0,,
26,Party,Subject To,Limitation Of Liability,0,0,,
27,Limitation Of Liability,Apply To,Vendor,0,6,,
28,Limitation Of Liability,Apply To,Obligation To Indemnify And Defend,0,0,,
29,Antare,Subject To,Limitation On Liability,1,0,,
30,Limitation Of Liability,Exclude,User From Damage,0,8,,
31,Limitation Of Liability,Specify,Maximum Refund,0,6,,
32,Obligation,Not Apply To,Infringement,0,0,,
33,Company'S Obligation,Limited To,Replacement Or Repair,0,6,,
34,Disclaimer,Specify,Scope Of Obligation,0,0,,
35,Obligation,Owed To,Disclaimant,0,0,,
36,Contractual Obligation,Is,Voluntary,0,0,,
37,Contractual Obligation,Is,Disclaimer-Sensitive,0,0,,
38,Consequential Damage,Arise Out Of,Breach Of Warranty,0,0,,
39,Consequential Damage,Caused By,Breach Of Statutory Duty,0,0,,
40,Breach,Result From,Truelink'S Negligence,0,8,,
41,Infringement Indemnification Obligation,Arise Out Of,Party'S Breach,0,0,,
42,Information,Be Kept Strictly Private By,Party,8,0,,
43,Personnel Record,Are Private,Except As Prohibited By Existing Law,8,0,,
44,Trade Secret,Include,Business Plan,6,6,,
45,Trade Secret,Is Defined By,Statute,6,0,,
46,Trade Secret Protection,Is,Indefinite,6,8,,
47,Trade Secret,Include,Engineering Information,6,8,,
48,Trade Secret,Include,Business And Financial Information,6,6,,
49,Trade Secret,Include,Unpublished Patent Application,6,6,,
50,Public,Have No Access To,Confidential Information,2,6,,
51,Confidential Information,Include,Bank Information,6,6,,
52,Confidential Information,Include,Medical History Or Record,6,0,,
53,Confidential Information,Include,Personal Care Issue,6,0,,
54,Confidential Information,Is,Private,6,8,,
55,Provision,Is,Stipulation,0,6,,
56,Substantive Provision,Identify,The Party,0,0,,
57,Boilerplate Provision,Is,Standard Term,0,0,,
58,Boilerplate Provision,Is,Grouped Miscellaneou,0,0,,
59,Boilerplate Porvision,Include,Choice Of Law,0,0,,
60,Obligation,Is,Legal Duty,0,0,,
61,Obligation,Is,Fulfillment Of Promises,0,0,,
62,Obligation,Is,Responsibility Of Party,0,0,,
63,Contractual Obligation,Depend On,Subject Matter,0,0,,
64,Contractual Obligation,Is,Transferable,0,0,,
65,Disclose Information,With,Permission,8,8,,
66,Non-Disclosure Agreement,Be Used Before,Information Disclosure,6,6,,
67,Disclosure,Give Rise To,Breach Of Confidence,0,0,,
68,Nda,Refer To,Nondisclure Agreement,0,6,,
69,Nondiclosure Agreement,Is,Legally Enforceable Contract,6,9,,
70,Security Contract,Is,In Recordable Form,9,8,,
71,Security Contract,Ensure,Insurance Converage,9,6,,
72,Security Contract,Ensure,The Contract,9,0,,
73,Security Contract,Ensure,Training Standard,9,6,,
74,Security Contract,Verify,Security Guard,9,8,,
75,Contract Restriction,Refer To,Restrictive Covenant,9,0,,
76,Restrictive Covenant,Prohibit,Employer,0,6,,
77,Restriction,As A Result Of,Court Order,8,0,,
78,Restriction,Include,Restricted Period,8,0,,
79,Restricted Period,Determined By,The Committee,0,0,,
80,Penalty,For,Breach Of Confidentiality,0,0,,
81,Penalty,Include,Loss Of Business Relationship,0,0,,
82,Penalty,Include,Employee Termination,0,0,,
83,Remedy,For,Breach Of Confidentiality,0,0,,
84,Remedy At Law,Is,Inadequate To Redress,0,8,,
85,Other Party,Is,Entitled To Equitable Remedy,0,0,,
86,Remedy,Is Waived By,Proof,0,0,,
87,Non-Defaulting Party,Elect,Remedy Action,0,0,,
88,Privity Of Contract,Is,A Common Law Principle,0,0,,
89,Privity Of Contract,Mean,Cannot Confer Right Upon Who Is Not A Party,0,0,,
90,Privity,Has,Statutory Exception,0,0,,
91,Privity Of Contract,Occur,Only Between The Parties To The Contract,0,8,,
92,Horizontal Privity,Arise,When The Benefits Are To Be Given To A Third Party,0,0,,
93,Exception,Include,Enforceable Third Party Right,8,0,,
94,Exception,Required By,Law,8,0,,
95,Mandatory Exception,Are,Well-Known And Understood,0,8,,
96,Exception,Include,Reporting Dependent Adult Abuse,8,0,,
97,Exception,Include,Reporting Child Abuse,8,0,,
98,Exception,Include,Reporting Elder Abuse,8,0,,
99,Confidentiality Clause,Also Known As,Non-Disclosure Agreement,0,6,,
100,Confidentiality Clause,Prevent,Divulging Sensitive Information,0,8,,
101,Confidentiality Clause,Prevent,Personally Indentifiable Information (Pii),0,8,,
102,Confidentiality Clause,Prevent,Trade Secret,0,6,,
103,Confidentiality Clause,Is,A Legally Binding Agreement,0,6,,
104,Breaching Party,Is,In Material Breach Of Agreement,0,0,,
105,Breaching Party,Make,A Breach Of Contract,0,0,,
106,Breaching Party,Infract Or Violate,Law,0,0,,
107,Breaching Party,Also Known As,Defaulting Party,0,0,,
108,Sales Contract,Define,Right Of Seller And Buyer,9,0,,
109,Sales Contract,Is,Essential Element In Business Selling,9,6,,
110,Sales Contract,Include,Detail Of Exchange,9,8,,
111,Sales Contract,Include,Term Of Sale,9,6,,
112,Sales Contract,Include,Service Description,9,6,,
113,Vendor Contract,Also Known As,Vendor Agreement,9,6,,
114,Vendor Contract,Exchange,Good,9,6,,
115,Vendor Contract,Define,Compensation,9,6,,
116,Vendor Contract,Establish,Business Relationship Condition,9,6,,
117,Vendor Contract,Establish,Each Party'S Obligation,9,0,,
118,Take And Pay Contract,Agree,Payment Is Not Unconditional,9,6,,
119,Take And Pay Contract,Unlike,A Take Or Pay Contract,9,9,,
120,Take Or Pay,Is,A Type Of Provision,0,0,,
121,Take Or Pay,Guarantee,A Minimum Payment,0,6,,
122,Take Or Pay Provision,Take,A Minimum Delivery,0,6,,
123,Payment Contract,Protect,Both Party,9,0,,
124,Payment Contract,Also Known As,Installment Agreement,9,6,,
125,Payment Contract,Outline,Detail Of A Loan,9,6,,
126,Payment Contract,Provision,Payment Date,9,6,,
127,Contractual Discount,Mean,Reduction,0,6,,
128,Discount,Be Listed In,Agreement,6,6,,
129,Wholesale Agreement,Include,Shippping Policy,6,0,,
130,Wholesale Agreement,Transfer,Ownership Of Goods,6,0,,
131,Wholesale Agreement,Include,Payment Policy,6,0,,
132,Wholesale Agreement,Include,Quality Standard,6,6,,
133,Wholesale Agreement,Include,Mean For Remedy,6,0,,
134,Consumer Contract,Concerning,The Supply Of Services,9,6,,
135,Consumer Contract,Can Be,Verbally,9,8,,
136,Consumer Contract,Contain,Goods And Service,9,6,,
137,Consumer Contract,Protected By,Consumer Rights Act,9,0,,
138,Consumer Contract,Specify,The Term For Using Products,9,6,,
139,Cash Contract,Is,A Financial Agreement,9,6,,
140,Cash Contract,Has,Predetermined Date,9,8,,
141,Cash Contract,Specify,Quantity Of A Commodity,9,8,,
142,Cash Offer,Mean,Without A Loan,6,6,,
143,Cash Offer,Allow,Pre-Approved Loan,6,6,,
144,Credit Contract,Is,An Agreement Of Borrowing Money,9,6,,
145,Credit Contract,Give,The Right To Defer Payment,9,0,,
146,Credit Contract,Include,Fees And Charge,9,6,,
147,Credit Contract,Include,Repayment,9,6,,
148,Billing Line,Define,The Billing Information,9,6,,
149,Billing Statement,Is Not,A Contract In A Legal Sense,6,0,,
150,Bill Of Quantities,Standardize,A Firm Cost,6,6,,
151,Bill Of Quantities,Price,The Project Fairly,6,8,,
152,Coupon,Is,A Writtem Contract,6,0,,
153,Coupon,Specify,A Definite Amount,6,8,,
154,Coupon,Specify,A Specified Date,6,8,,
155,Coupon,According To,The Term Of The Main Document,6,0,,
156,Coupon,Represent,Issuer'S Separate Promise,6,0,,
157,Payment Method,Include,Cash,6,6,,
158,Payment Method,Include,Check,6,6,,
159,Payment Method,Include,Debit Card,6,6,,
160,Payment Method,Include,Credit Card,6,6,,
161,Payment Method,Include,Electron Ic Bank Transfer,6,6,,
162,Trade Contract,Is Between,The Authority And A Trade Contractor,9,8,,
163,Trade Contract,Also Known As,Trade Agreement,9,6,,
164,Contract For Differences (Cfd),Is,Trade Contract,9,9,,
165,Contract For Differences (Cfd),Pay,The Difference In The Settlement Price,9,6,,
166,Trade Contract,Is,Formalized Code Of Conduct,9,8,,
167,Rebate,Is,A Retrospective Financial Payment,6,6,,
168,Rebate,Is Used A,An Incentive To Drive Sales Growth,6,6,,
169,Rebate,Is,Payment From A Seller To A Buyer,6,6,,
170,Rebate Deal,Include,Product Launch,6,6,,
171,Rebate Deal,Include,End Of Life Promotions,6,6,,
172,Such Access,Provide,Dispute,8,0,,
173,Party,Agree,Jurisdiction,0,0,,
174,Deductible Clause,Written By,Risks Coverage Insurance,0,6,,
175,You,Obtain,Flood Insurance Coverage,2,6,,
176,Consultant,Disclose,Work Product,7,5,,
177,Vip,Maintian,Disaster Business Insurance,2,6,,
178,Party,Obtain,Full Force,0,0,,
179,Purported Assignment,Be Null,Force,0,0,,
180,Explosion,Have No Access To,Same Limit Requirement,8,8,,
181,Musclepharm,Transfer,As Party,1,0,,
182,Who,Prepared By,Herein  Musclepharm,1,1,,
183,Company,Assign To,Copyright,1,0,,
184,Such  Right,Owned By,Intellectual  Property,0,0,,
185,Conformi,Agree,Assignment,1,0,,
186,It,Assign,Reasonable  Assistance,8,8,,
187,Hire  Company,Sell,Right,1,0,,
188,Distributor,Inform,Erchonia,6,1,,
189,Franchisee,Deemed,Registration,6,0,,
190,Franchisee,Execute,Such  Right,6,0,,
191,Ownership,Vest In,Votocast,0,1,,
192,Ancillary Party,Execute,Intellectual Property Assignment,0,0,,
193,Ancillary Party,Execute,Intellectual Property Assignment,0,0,,
194,Investor,Own,All Right,6,0,,
195,University,Assign,Ind,1,1,,
196,Agreement,Owned By,Village Media Company,6,1,,
197,Vyera,Assign,Hereby  All,1,8,,
198,Vyera,Deemed,Right,1,0,,
199,Cytodyn,Be,Sole Owner,1,0,,
200,At&T,Be,Exclusive Owner,1,0,,
201,Vendor,Assign,All  Right,6,0,,
202,Assignment,Include,Intellectual Property Right,0,0,,
203,Party,Agree,Right,0,0,,
204,Dovum,Own,All Right,1,0,,
205,Valeant,Vest In,Benefit,1,6,,
206,Manufacturer,Appointed,Copyright,6,0,,
207,Licensee,Assign,Right,7,0,,
208,Licensee,Assign,Hereby  Right,7,0,,
210,Party,Take,Ownership Right,0,0,,
211,Ebix,Own,Right,1,0,,
212,Ecentive,Transfer,Right,1,0,,
213,Verticalnet,Register,Domain Name,1,0,,
214,Co-Branded Url,Owned By,Party,6,0,,
215,Network Affiliate,Owned,Right,1,0,,
216,Xencor,Assign To,Such Promotional Material,1,6,,
218,Bioeq,Transfer,Applicable Regulatory Approval,1,6,,
219,Licensee,Have,Sole  Right,7,0,,
220,Licensee,Notify,Competent Regulatory Authority,7,0,,
221,Developer,Grant,Right,6,0,,
222,Developer,Assign,Right,6,0,,
223,Lea,Assign,Document,1,8,,
224,Sfj,Deliver To,True  Copy,1,8,,
225,Sfj,Assign,Medimmune,1,1,,
226,Sfj,Is,Sole Ownership,1,0,,
227,Other Permitted Third Party,Assign,Right,0,0,,
228,Sfj,Cause,Right,1,0,,
229,Sfj,Made Under,Agreement,1,6,,
230,Revmed,Complete,Clinical Trial,1,6,,
231,Sanofi,Transfer,Business Entity Name,1,6,,
232,Intellectual Property,Owned By,Val,0,1,,
233,Party B,Notify,Party A,0,0,,
234,Distributor,Take,Reasonable  Action,1,8,,
235,Arizona,Agree,Entire  Right,4,0,,
236,Fox,Own,Intellectual Property Right,1,0,,
237,Licensee,Agree,Copyright Assignment,6,0,,
238,Licensee,Obtain From,Written Assignment,6,0,,
239,Licensee,Assign To,Right,6,0,,
240,Licensee,Transfer,Moral,6,8,,
241,Result,Deemed,Work,8,8,,
242,Material,Assigned To,Document,8,8,,
243,Exclusive  You,Assign To,Right,2,0,,
244,Datum,Is,Exclusive Property,1,0,,
245,Client,Own,Content,6,8,,
247,Efs,Assign,Authorized Modification,1,8,,
248,Client,Deemed,Interest  Right,6,0,,
249,Efs,Assign,Hereby  Transfer,1,8,,
250,Permissible  Developer,Assign,Copyright,6,0,,
251,Developer,Grants To,Software,6,6,,
252,Consultant,Assign,Right,7,0,,
253,Consultant,Disclose,Work Product,7,6,,
254,Consultant,Assign To,Company,7,1,,
255,Consultant,Sign,Written Instrument,7,6,,
256,Consultant,Apply To,Invention,7,6,,
257,Consultant,Agree,Service,7,6,,
258,Consultant,Make,Written Disclosure,7,6,,
259,Invention,Deemed,Confidential Information,8,6,,
260,Consultant,Assist,Company,7,1,,
262,Consultant,Assist,Aduro,7,1,,
263,Consultant,Assigns To,Invention,7,6,,
264,Consultant,Execute,Further Assignment,7,6,,
265,Consultant,Disclose To,Invention,7,6,,
266,Written Record,Be Available,Property,8,0,,
267,Consultant,Assist,Company,7,1,,
269,Ip Consultant,Assign,Right,7,0,,
270,Consultant,Assist,Aduro,7,1,,
271,Ownership,Vest In,Tadeo,0,1,,
272,Development,Be,Property,8,0,,
273,Information,Be,Property,8,0,,
276,Ximage,Provide,Following,1,8,,
277,Recipient,Own,Right,6,0,,
278,Agreement,Constitute,Irrevocable Assignment,6,6,,
279,Contractor,Provide To,Company,7,1,,
280,Executive,Assigns To,Entire  Right,6,0,,
282,Company Ip,Assign,Right,6,0,,
283,Ivillage,Assigns To,Intellectual  Right,1,0,,
284,Ibm,Assume,Ownership,1,6,,
285,Bank Of America,Own,Right,1,0,,
286,Bank Of America,Own,Work Product,1,6,,
287,Agreement,Be,Property,6,0,,
289,Philip,Assign,Right  Title,1,0,,
290,Macrogenic,Assign,Transfer,1,8,,
291,Ginkgo,Cause,Affiliate,1,0,,
292,Bli,Cause,Affiliate,1,0,,
293,Bli,Assign,One,1,8,,
294,Recipient,Assign To,Mbrk,6,1,,
295,Xencor,Assign,Bii,1,1,,
296,Xencor,Provide,Assistance,1,8,,
297,Intellectual Property Company,Assign To,Such  Right,1,0,,
300,Spinco,Use,Reasonable  Effort,1,8,,
301,Applicable Member,Continue,Required Consent,8,0,,
302,Parent,Assign,Unreleased Spinco Ip Liability,8,0,,
303,You,Assign To,Right,2,0,,
305,Fmi,Assign To,Right,1,0,,
306,Tph-A,Acquire,Sole  Title,1,0,,
307,Dialog,Transfer To,Tooling,1,1,,
308,Party,Undertake,Own  Share,0,0,,
309,Kiromic,Assigns To,Right,1,0,,
310,Work,Belong To,Isa,6,1,,
311,Consultants And Agent,Assign To,Work,7,6,,
312,Possible  Innovation,Be,Service,6,6,,
313,Consultant,Transfer,Work Right,7,0,,
314,Consultant,Assist,Document,7,8,,
315,Consultant,Appoint,Officer,7,6,,
316,Consultant,Transfer To,Company,7,1,,
317,Md Anderson,Make,Written  Disclosure,1,6,,
318,Md Anderson,Acknowledge,Invention,1,6,,
319,Md Anderson,Assign,Hereby  Transfer,1,6,,
320,Agent,Acquire,Right,7,0,,
321,Vs,Assigns To,Right,1,0,,
322,Ppd,Assigns To,Right,1,0,,
323,Lead  Scaffold,Cease,Section,1,0,,
324,Anixa,Assign To,Ontochem,1,1,,
325,Ontochem,Own,Right,1,0,,
326,Astella,Owned By,Invention,1,6,,
327,Astella,Take,Reasonable  Action,1,8,,
328,Party,Acknowledge,Right,0,0,,
331,Arizona,Assign,Right,4,0,,
332,Assignor,Assign,Right,7,0,,
333,Assignor,Request,Assistance,7,8,,
334,Assignor,Provide,Assistance,7,8,,
335,Sony,Assigns To,Entire Right,1,0,,
337,Hsi,Assign,All  Right,1,0,,
338,Party A,Own,Right,0,0,,
339,Seller,Sell,Transfer,6,8,,
340,Seller,Agrees To,Other Seller Party,6,0,,
341,Company,Agree,Right,1,0,,
342,Company,Agree,Right,1,0,,
344,Ono,Take,Reasonable  Action,1,8,,
345,Achaogen,Retain,Right,1,0,,
346,Microgenic,Retain,Right,1,0,,
347,Achaogen,Own,Discovery,1,8,,
348,Achaogen Patent,Remain,Sole Property,0,0,,
349,Antibody,Remain,Sole Property,8,0,,
350,Microgenic,Own,Right,1,0,,
352,Franchisee,Agree,Additional  Document,7,8,,
353,Franchisee,Assigns To,Such  Right,7,0,,
355,I,Have,Right,2,0,,
356,You,Allow,Other  Person,2,0,,
357,One,Retain,Ownership Right,2,0,,
358,One,Have,Claim,2,0,,
359,Change,Owned By,Changepoint,8,1,,
360,Inktomi,Assigns To,Interest,1,6,,
361,Project,Owned By,Bachem Intellectual Property,8,0,,
363,Iac,Arise Through,Further  Instrument,1,6,,
364,Iac,Secure,Intellectual Property Right,1,0,,
365,Incorporated Technology Work,Be,Property,6,0,,
366,Assignor,Assign,Hereby  Transfer,7,6,,
367,Ppi,Transferred,Domain Name,1,8,,
368,Ppi,Provide,Ekr,1,1,,
369,Reseller,To Be,Right,6,0,,
370,Healthgate,Assign,Present  Copyright,1,0,,
371,Healthgate,Assign,Right,1,0,,
372,Recipient,Assign,Hereby  Right,7,0,,
373,Recipient,Grants To,Right,7,0,,
374,Recipient,Assign,Hereby  Right,7,0,,
375,Recipient,Grants To,Right,7,0,,
376,Such  Policy,Provide,Protection,0,8,,
377,Musclepharm,Furnish,As Certificate,1,0,,
378,Party,False General,General Liability Insurance,0,6,,
379,Party,Provide,Written  Proof,0,0,,
380,Supplier,Add,Distributor,6,6,,
381,Supplier,Maintain,Product Liability Insurance,6,6,,
382,Franchisee,Maintain,Policy,7,0,,
383,Customer,Is Responsible,Personal Property Insurance,6,6,,
384,Artara,Obtain,General Liability Insurance,1,6,,
385,Insurance,Identify,University Indemnitee,6,0,,
386,University,Have,Right,1,0,,
387,Insurance,Include,Coverage,6,6,,
388,Such  Insurance,Include,Additionally  Error,6,8,,
389,Artara,Made,University,1,1,,
390,Party,Maintain Comprehensive,General  Liability,0,0,,
391,Party,Provide,Certificate,0,0,,
392,Company,Furnish,Jhu,1,1,,
393,I,Maintain,Insurance Coverage,2,6,,
396,Insurance,Represent,Coverage,6,6,,
397,Policy,Include,Waiver,0,0,,
398,State Run Vendor,Add,Gap Employers Liability,6,0,,
399,False General Aggregate,Assumed Under,Liability,8,0,,
400,Applicable  Vendor,Maintain,Products Completed Operation,6,6,,
401,Vendor,Provide,Copy,6,8,,
402,Explosion,Have,Same Limit Requirement,8,6,,
403,Vendor,Limit For,Property Coverage,6,6,,
404,Vendor,Maintain,Property Insurance,6,6,,
405,Operator,Maintain In,Following  Insurance,6,6,,
406,Customer,Agree,Specifically Insurance Coverage,6,6,,
407,It,Insured,Such  Insurance,8,6,,
408,Manufacturer,Assumed By,Such Insurance Coverage,6,6,,
409,Manufacturer,Furnish To,Required Insurance Coverage,6,6,,
411,Insurance Carrier,Have,Minimum,6,8,,
412,Insurance,Said,Following,6,8,,
414,Party,Carry Appropriate,Commercially  Amount,0,6,,
415,Xspa,Workers’,Special Form Property Stock,1,6,,
416,Such  Insurance,Participate In,Personal Operations Coverage,6,6,,
417,Xspa,Maintain,Coverage,1,6,,
418,Xspa,Provide To,Such  Insurance,1,6,,
419,Certificate,Provide,Written  Notice,0,8,,
420,Insurer,Have,Best’s Insurance Rating,6,6,,
421,Each,Provide,Other  Party,8,0,,
422,Party,Request,Additional Insurance Coverage,0,6,,
423,Party,Acknowledge,General Liability Obligation,0,0,,
426,Mmt,Maintain Such,Such  Insurance,1,6,,
427,Party,Maintain,Following  Policy,0,0,,
428,Other  Party,Provide,Requesting  Party,0,0,,
429,Applicable  Party,Provide,Other  Party,0,0,,
430,Constellation,Provide,Hof Entity,8,8,,
431,Party,Obtain,Compensation Employer’s Liability Insurance,0,6,,
432,Sponsor,Have,Own Liability Insurance,6,6,,
433,Manufacturing Company,Maintain Throughout,Product,6,5,,
434,Customer,Maintain,Product Liability Insurance,6,6,,
435,Association,Be,30 Days,1,8,,
436,Party,Maintain,Minimum  Type,0,8,,
437,Based  Coverage,Requires Alternate,Alternate Employer Endorsement,6,6,,
438,Insurer,Have At,Financial  Rating,6,6,,
441,Party B,Purchase Sufficient,Sufficient  Insurance,0,6,,
442,Party B,Lower Than,Purchase Injury Insurance,0,6,,
443,Company,Ensure,Waiver,1,0,,
444,Company,Furnish To,Written  Notice,1,8,,
445,Network Affiliate,Maintain With,Insurance Company,1,6,,
446,Ncm,Maintainwith,Insurance,1,6,,
447,Party,Name,Other,0,8,,
448,Network,Procured,General Liability Insurance,8,6,,
449,Additionally  Network,Procure On,Network’s Media Activity,8,8,,
450,Bizzingo,Secure,Insurance Policy,1,0,,
451,Company,Agree,Comprehensive Liability Insurance,1,6,,
452,Clinical Trials Insurance Coverage,Be Le,Adequate  Obligation,6,0,,
453,Aimmune,Provide,Xencor,1,1,,
454,Aimmune,Provide,Xencor,1,1,,
455,Developer,Obtain,Insurance Coverage,6,6,,
456,Developer,Carry Such,Such Compensation Insurance,6,6,,
457,Public  Liability,Contain,Property Damage Provision,0,0,,
458,Policy,Provide,Franchisor,0,6,,
459,Franchisor,Procure Such,Such  Coverage,6,6,,
460,Party,Obtain,Full  Force,0,0,,
461,Such  Insurance,Issued By,Other  Party,6,0,,
463,Party,Provided,Employee,0,6,,
464,General Liability Insurance,Include,Clinical Trial Insurance,6,6,,
465,Other  Party,Provide,Certificate,0,0,,
466,Insurance Policy,Be Under,Such  Insurance,0,6,,
467,Lea,Obtain,Necessary  Insurance,1,6,,
468,Eutectix,Obtain,Insurance Meeting,1,6,,
469,Such  Insurance,Cover,Prior  Act,6,0,,
471,Below  Party,Commencing ,Insurance Coverage,0,6,,
472,Deductible,Assumed By,Insuring Party,8,6,,
474,Completed Aggregate,Combined,Single Personal Limit,8,8,,
475,Pb,Obtain Such,Such Trials Liability Insurance,1,6,,
476,Who,Obtain,Professional Liability Insurance,1,6,,
477,Party,Include,Other  Party,0,0,,
478,Pb,Be Responsible,Product Liability Insurance,1,6,,
479,Party,Procure,Insurance,0,6,,
480,Party,Provide,Other  Party,0,0,,
481,Single  Limit,Completed,Operations Coverage,8,6,,
483,Qualigen,Provide,Sekisui,1,1,,
484,Party,Agree,Liability Insurance,0,6,,
485,Ii,Carry ,Reasonable  Amount,1,8,,
486,Distributor,Maintain At,Us$ 5 Million,6,8,,
487,Distributor,Name,Staar,6,8,,
488,Distributor,Provide,Staar,6,1,,
489,Party,Maintain,Product Liability,0,0,,
490,Party,Provide,Certificate,0,0,,
491,John’,Procure,Reasonable  Effort,1,8,,
493,Comprehensive Automobile Liability,Form Exce,Excess Liability Insurance,0,6,,
494,You,Obtain,Appropriate Insurance Coverage,2,6,,
495,You,Maintain,Such  Type,2,8,,
497,Such  Policy,Include,Following,0,8,,
