,source,edge,target,SourceType,TargetType,0: Legal_Related_Terms,
498,Approved Insurance Company,Issue,Certificate,6,0,,
499,Certificate,Include,Statement,0,0,,
501,You,Send,Current  Certificate,2,0,,
502,You,Cause,General Liability Insurance,2,6,,
504,You,Cause,Compensation,2,6,,
505,Ef,Maintain At,General Liability Insurance,1,6,,
506,Such  Notice,Include,Written  Confirmation,8,8,,
507,Party,Be Responsible,Compensation Insurance,0,6,,
508,Party,Maintain,False General Liability Insurance,0,6,,
509,Heritage,Maintain,Insurance,6,6,,
510,Single  Limit,Determined,Product,8,5,,
511,Premier,Remain A,Policy,1,0,,
513,That,State,Proof,8,0,,
514,Such  Insurance,Include,Joint Loss Endorsement,6,0,,
515,You,Procure At,Insurance You,2,6,,
516,Deductible  Clause,Written By,Risks Coverage Insurance,0,6,,
517,You,Agree,Proper  Existence,2,8,,
518,That,State,Prior  Notice,8,8,,
519,Merchant,Insure,Additional Agent Merchandise,6,6,,
520,All,Limited To Commercial,Public Umbrella Liability Injury,8,0,,
521,Merchant,Deliver To,Such Insurance Duration,6,6,,
522,Such  Policy,Require,Least  Thirty,0,8,,
523,Merchant,Make,Change,6,8,,
524,Such  Policy,Name,Also  Purchaser,0,6,,
525,Such  Policy,Require,Least  Thirty,0,8,,
526,Merchant,Make,Change,6,8,,
527,Agent,Maintain,General Liability Policy,7,0,,
528,Agent,Deliver To,Such Insurance Policy,7,0,,
529,Agent,Be Responsible,Change,7,8,,
531,Contractor,Maintain,Workers Compensation Insurance,7,6,,
532,Contractor,Provide,Company,7,1,,
533,Participation,Is Subject,Normal Underwriting Requirement,0,0,,
534,Company,Have,Right,1,0,,
536,Racing,Provide Comprehensive,Comprehensive  Fire,1,8,,
537,Racing,Provide,Certificate,1,0,,
538,Racing,Obtain,Below,1,8,,
539,False General Liability,Covering,Liability,0,0,,
542,False General Liability,Covering,Liability,0,0,,
545,Racing’s Liability Policy,Endorsed,Liability Coverage,0,0,,
546,Racing,Provide,Sponsor,1,6,,
547,Certificate,Provide,Thirty Days Prior Written Notice,0,8,,
548,Sponsor,Represent,Coverage Limit,6,6,,
549,Insurer,Maintain,Following Insurance Coverage,6,6,,
551,Vendor,Maintain,Insurance,6,6,,
552,Vendor,Maintain Commercial,General  Liability,6,0,,
553,Cover Liability,Written On,Equivalent  Coverage,0,0,,
554,Dolphin,Maintain In,$  Any,1,6,,
555,Hydron,Maintain In,$  Any,1,6,,
556,Contractor,Maintain,Insurance,7,6,,
557,Vip,Maintain,Disaster Business Insurance,1,6,,
558,Company,Maintain,Products Liability Insurance,1,6,,
559,Insurance Coverage,Are,Best Rating,6,8,,
560,The  Bsp,Provide Documentary,Documentary  Evidence,1,0,,
561,Contractor,Maintain,Service,7,6,,
562,Expense,Borne By,Contractor,6,7,,
563,Contractor,Keep,Policy,7,0,,
564,M&I,Maintain At,False General Liability Premises,1,0,,
565,Metavante,Maintain,Compensation,1,6,,
566,Insurance,Cover,Prior  Act,6,0,,
567,Ibm,Agree,Own,1,8,,
568,Msl,Insured With,Ibm,1,1,,
569,Wyzz,Maintain,Cost Casualty Replacement Cost Insurance,1,6,,
570,Nexstar,Maintain,Casualty Replacement Insurance,1,6,,
571,Schoolpop,Procure With Sound,Following Insurance Compensation Insurance,1,6,,
572,Insurer,Insured By,Risk Insurance,6,6,,
573,Company,Provide,Repairer,1,6,,
574,Subcontractor,"And,(Ii",Products Liability Insurance,7,6,,
575,Keeper Liability Repairer,Maintain,One  Occurrence,6,8,,
576,Company,Supply,Repairer,1,6,,
577,Supplier,At,Continuously  Subcontractor,6,7,,
578,Certificate,State,Amount,0,8,,
579,Supplier,Pay,Any,6,8,,
580,Supplier,Waive,Subrogation,6,0,,
581,Policy,Include,Completed Operations Coverage,0,6,,
582,Supplier,Be Responsible,Bond Customer Coverage,6,6,,
584,Cbc,Furnish,Mediwound Certification,1,0,,
585,Philip,Comply With,Required  Level,1,8,,
586,Party,Maintain At,Adequate  Amount,0,8,,
587,Party,Increase,Level,0,8,,
588,Party,Provide,Other  Party,0,0,,
589,Fcc,Agree,"$5,000,000",1,8,,
590,Performance Insurance Policy,Obtain,Necessary  Bond,0,8,,
591,Party,Purchase,Coverages:(A)Cargo Liability Insurance,0,6,,
592,Policy,Named As Anadditional,Crossliability,0,0,,
593,Policy,Cover,Air  Operation,0,6,,
594,Required Insurance Coverage,Ofinsurance,Written  Notice,6,8,,
595,Party,Maintain,Insurance Coverage,0,6,,
596,Party,Ensure,Service,0,6,,
597,Party,Obtain,Full  Force,0,0,,
598,Insurance Policy,Be Under,Compliance,0,0,,
599,Company,Agree,"$5,000,000",1,8,,
600,Company,Agree,"$25,000,000",1,8,,
601,Bii,Have,Right,1,0,,
602,Joint Venture,Acquire,Insurance,6,6,,
604,Depomed,Undertake,Insurance Broker,1,6,,
605,Party,Provide,Certificate,0,0,,
606,You,Maintain In,Insurance Coverage,2,6,,
607,You,Maintain,Insurance,2,6,,
608,Such Insurance Coverage,Include,General Liability Coverage,6,0,,
609,Such  Insurance,Have,Self  Retention,6,0,,
610,You,Maintain Such,Additional  Insurance,2,6,,
611,I,Increase,Periodically  Amount,2,8,,
612,Insurance Policy,Name,A  U,0,8,,
616,I,Have,Right,2,0,,
617,Maintenance,Affected In,Insurance Coverage,6,6,,
618,You,Obtain Such,Such  Coverage,2,6,,
619,Gsk,Obtain,Written  Proof,1,8,,
620,Joint Venture Company,Take,Required  Insurance,1,6,,
621,Party,Maintain,Adequately Products,0,6,,
622,Party,Provide To,Certificate,0,0,,
623,Venture,Acquire,Insurance,1,6,,
624,Party,Provide Civil,Civil Liability Insurance Cover,0,6,,
625,Company,Carry,Insurance,1,6,,
626,Agency,Maintain,Valid  Error,6,8,,
627,Agency,Provide,Copy,6,8,,
628,Company,Maintain,Liability Liability Insurance,1,6,,
629,Such Liability Insurance Policy,Name,Company,0,1,,
630,Liability Insurance Policy,Name,Agent,0,7,,
631,Party,Furnish To,Certificate,0,0,,
632,Blue Hills Party,Carry,Insurance,1,6,,
633,It,Has,Reason,8,8,,
634,Such  Policy,Name,Zanotti,0,8,,
635,Eachparty,Provide Such,Such  Evidence,0,0,,
636,Adaptimmune Limited,Maintain In Full,Annual  Aggregate,1,0,,
637,Adaptimmune,Provide,Md Anderson,1,1,,
638,Md Anderson,Has,Financial  Obligation,1,0,,
639,Subcontractor,Obtain At,Insurance,7,6,,
640,Subcontractor,Acknowledge,Right,7,0,,
641,That,Constitute,Approval,8,8,,
642,Insurance,Include,Coverage,6,6,,
643,General Liability,Have,Location,0,8,,
644,Following Subcontractor Classification,Follow,Umbrella Excess Liability Form,0,0,,
645,Company,Indemnify,Former Hoc Director,1,6,,
646,Company,Maintain,Policy,1,0,,
647,It,I.,Still  Book,8,6,,
648,Kallo,Maintain Comprehensive,General  Liability,1,0,,
649,Applicable  Company,Have,Nominated  Tf,1,8,,
650,Party,Maintain,Liability Insurance,0,6,,
651,Party,Furnish To,Such  Insurance,0,6,,
652,Party,Maintain,Product Liability,0,0,,
653,Party,Provide,Certificate,0,0,,
654,Party,Secure,Limit,0,8,,
655,Such  Insurance,False General,General  Liability,6,0,,
656,Stw,Administer,Necessary  Insurance,1,6,,
657,All,Be Acceptable,Protection,8,8,,
658,Herc,Agree,Thc,1,1,,
660,It,Itcarriesgeneralliabilityinsurance Of,Sierra,8,1,,
661,Company,Carry,Reasonable Amount,1,8,,
663,Party,Agree,Other,0,8,,
664,Buyer,Obtain Comprehensive,General Liability Coverage,6,6,,
665,Carrier,Procure,Liability Insurance,6,6,,
666,It,Covenant,Owner,8,6,,
667,Diplomat,Agree,Product Liability Insurance,1,6,,
668,Company,Provide,Liability Insurance Advertising Injury Coverage,1,6,,
669,Such Insurance Policy,Provide,Such  Policy,0,0,,
670,Company,Agree,$ Three Million Licensor,1,7,,
671,Company,Submit To,20  Day,1,8,,
672,Company,Agree,"$3,000,000",1,8,,
673,Party,Maintain,Liability Liability Insurance,0,6,,
674,Company,Carry,Insurance,1,6,,
675,Such  Insurance,Name,Specifically  Bp,6,8,,
676,Such  Policy,Name,Airsopure,0,8,,
677,Evidence,Required From,Statement,0,0,,
678,Such  Insurance,Be With,Minimum  Rating,6,6,,
679,I,Have,Option,2,8,,
680,Policy,Name,Bkc,0,8,,
681,You,Agree,Activity,2,8,,
682,I,Written By,Rating,2,8,,
683,Automobile Liability Insurance,Combined Single,Single  Limit,6,8,,
684,Which,Insurance With,Total,0,8,,
685,You,Obtain,Also Flood Insurance Coverage,2,6,,
686,You,Agree,General  Contractor,2,7,,
687,You,Days Before,First  Insurance,2,6,,
688,Additional  Certificate,Name,Above  Me,0,8,,
689,Interest,Include,Right,6,0,,
690,You,Purchase Such,Such Insurance Coverage(,2,6,,
691,Deductible,Be In Reasonable,Approval,6,8,,
694,You,May,Such Insurance Coverage,2,6,,
696,I,Have,Right,2,0,,
697,Inktomi,Maintain,Insurance,1,6,,
698,Party,Obtain,General Liability Insurance,0,6,,
699,Claim,Provided In More,Form,0,8,,
700,Such  Insurance,Have Annual,Annual Aggregate Limit,6,0,,
702,Fleet,Maintain Comprehensive,General Liability Insurance,1,6,,
703,Party,Maintain Such,Such  Insurance,0,6,,
704,Who,Statement Of,Activity,1,8,,
705,That,Have,Insurance Policy,8,0,,
706,Agreement,Expire,Active  Policy,6,0,,
707,Medica,At,One Insurance Policy,1,0,,
708,Medica,Furnish,Vapotherm,1,1,,
709,Business Day,Written,Prior  Notice,6,8,,
710,Vapotherm,Have,Right,1,0,,
711,Vapotherm,Famish,Medica,1,1,,
712,Business Day,Written,Prior  Notice,6,8,,
713,Operator,Maintain Statutory,Statutory Worker’s Compensation Insurance,6,6,,
714,Operator,Maintain Employer’,Employer’s  Liability Insurance,6,6,,
715,Operator,Maintain,Operation,6,6,,
716,Operator,Attempt,Indemnification  Protection,6,0,,
717,Operator,Require,Each,6,8,,
718,Operator,Require,Each,6,8,,
719,Operator,Maintain,Commercial Automobile Insurance Coverage,6,6,,
720,Operator,Maintain,Liability Insurance Coverage,6,6,,
721,Service Provider,Provide,Certificate,6,0,,
722,Service Provider,Provide,General Liability Insurance,6,6,,
723,Service Provider,Provide,Single Policy Limit,6,0,,
724,Service Provider,Provide,Excess Liability Insurance,6,6,,
725,It,Endorsed,Owner,8,6,,
726,Managing Group,Agree,Part,6,8,,
727,Sap Africa,Provide,Insurance,1,6,,
728,Provider,Obtain,Appropriate Liability Insurance,6,6,,
729,Insurance Policy,Willname,Company,0,1,,
730,Operator,Maintain,Following Insurance Coverage,6,6,,
731,Operator,Maintain Statutory,Statutory Worker’scompensation Insurance,6,6,,
732,Operator,Maintain Employer’,Employer’s Liability Insurance,6,6,,
733,Operator,Waive,Right,6,0,,
734,Operator,Maintain,General Liability Insurance,6,6,,
735,Operator,Maintain,Commercial Automobile Insurance Coverage,6,6,,
736,Operator,Maintain,Liability Insurance Coverage,6,6,,
737,Policy,Provide Primary,Primary  Coverage,0,6,,
738,Operator,Agree,Each,6,8,,
739,Agent,Maintain Full,Full  Insurance,7,6,,
740,Oak Ridge,Arrange,Product Liability,1,0,,
741,Such  Exception,Is,Material Adverse Effect,8,6,,
742,Each Insurance Subsidiary,Is In,Business,6,6,,
743,Party,Maintain,Nature,0,8,,
744,Such  Insurance,Maintained For,Availability,6,0,,
746,Broker Dealer,Represent,Warrant,6,0,,
747,Company,Maintain,Insurance,1,6,,
748,Such  Insurance,Insure Against,Such  Loss,6,6,,
749,Party,Maintain Such,Such  Insurance,0,6,,
751,Sabco,Supply,Prolong,1,8,,
752,Sponsor,Obtain,Following  Insurance,6,6,,
754,Sponsor,Obtain,Liability,6,0,,
755,Sponsor,Maintain,Required Workers Compensation Insurance,6,6,,
756,Reseller,Subscribe For,Term,6,8,,
757,Reseller,Ensure,Such  Insurance Coverage,6,6,,
758,Policy,Include,Provision,0,0,,
759,Supplier,Maintain,Insurance,6,6,,
760,Employer,Liability,"$500,000",6,8,,
761,Supplier,Furnish,Buyer,6,6,,
762,Certificate,Said,Supplier’s Insurance Carrier,0,6,,
763,Failure,Constitute,Breach,8,0,,
764,Supplier,Provide To,Certificate,6,0,,
765,Supplier,Maintain,Basis,6,8,,
766,Each,Maintain,Basis,2,8,,
767,Party,Agree,Other  Party,0,0,,
768,Party,Agree,Written  Notice,0,8,,
769,Hereunder  Supplier,Use,Reasonable  Effort,6,8,,
770,Each,Maintain In Full,General Liability Insurance Policy,8,0,,
771,Party,Procure,Insurance,0,6,,
772,Party,Provide,Evidence,0,0,,
773,Party,Provide,Notice,0,8,,
774,Party,Agree,Indemnification Obligation,0,0,,
775,Netgear,Agree,Insurance Coverage,1,6,,
776,Insurance,Include,Compensation Insurance,6,6,,
777,Netgear,Furnish,Applicable  Certificate,1,0,,
778,Professional,Agree,Comprehensive Liability Company,7,1,,
779,Company,Require,Professional,1,7,,
780,Ma,Keep,Accurate  Record,1,8,,
781,Roger,Have,Right,1,0,,
782,Licensee,Conduct,Audit,7,6,,
783,Licensor,Pay,Cost,7,6,,
784,Book,Be Available For,Inspection,6,8,,
785,Party,Have,Accounting Period Accounting Right,0,0,,
786,Lender,Understand,Book,6,6,,
787,As Party,Have,Right,0,0,,
788,Musclepharm,Reimburse,As Party,1,0,,
789,Musclepharm,At,Time,1,8,,
790,Independent  Who,Have,Public  Right,1,0,,
791,Auditing Party,Have,Right,7,0,,
792,Party,Cause,Subsidiary,0,6,,
793,Party,Permit,Public Accounting Firm,0,1,,
794,Fce,Permit,Public Accounting Firm,1,1,,
795,Fce,Cause,Subcontractor,1,7,,
796,Distributor,Undertake,Supplier,6,6,,
797,Jrv,Audit,Book,1,6,,
798,Distributor,Provide,Assistance,6,8,,
799,Distributor,Provide,Jrv,6,1,,
800,Information,Be Available For,Inspection,8,8,,
801,Distributor,Afford To,Hydraspin,6,1,,
802,Franchisor,Have,Right,7,0,,
803,Franchisee,Be Under,Obligation,7,0,,
804,University,Provide,Artara,1,1,,
805,Cytodyn,Provide,Vyera,1,1,,
806,Company,Make,Datum,1,1,,
807,Jhu,Have,Right,1,0,,
808,At&T,Have,Governmental  Right,1,0,,
809,Vendor,Provide,Audit,6,6,,
810,Access,Include,Supporting  Right,8,0,,
811,Vendor,Cooperate,At&T Audit,6,1,,
812,Vendor,Provide,At&T,6,1,,
813,Vendor,Work With,At&T,6,1,,
814,Vendor,Use,Effort,6,8,,
815,Vendor,Conduct,Audit,6,6,,
816,Vendor,Provide,List,6,8,,
817,Vendor,Renegotiate,Contract,6,0,,
818,Vendor,Provide,At&T,6,1,,
819,Vendor,Provide To,At&T,6,1,,
820,Record,Kept Available At,Operator Office,8,7,,
821,Contractor,Permit,Customer,7,6,,
822,Neurobo,Inspect,Manufacturing Dong Facility,1,6,,
823,Kitov,Have,Right,1,0,,
824,Customer,Conduct,Audit,6,6,,
825,Manufacturer,Provide,Customer,6,6,,
826,Manufacturer,Assist In,Completion,6,8,,
827,Customer,Audit,Manufacturer,6,6,,
828,Customer,Audit,Record,6,8,,
829,Todo,Have,Right,1,0,,
830,Vertex,Have,Right,1,0,,
831,Representative,Inspect,Book,7,6,,
832,Calm,Have,30  Day,8,8,,
833,Representative,Inspect,Book,7,6,,
834,Calm,Engage,Third  Party,8,0,,
835,Customer,Have,Right,6,0,,
836,Supplier,Have,Right,6,0,,
837,It,Restricted From,Part,8,8,,
838,Supplier,Allow,Monitoring,6,8,,
839,Frequency,Governed By,Quality Agreement,8,6,,
840,Other Auditing Party,Permit,Public Accounting Firm,7,1,,
841,Audited Party,Permit,Auditing Party,7,7,,
842,Valeant,Have,Right,1,0,,
843,Valeant,Bear,Cost,1,6,,
844,Dovum,Have,Right,1,0,,
845,Audit Right,Include,Sales Representative,0,6,,
846,Dovum,Bear,Cost,1,6,,
847,Mmt,Require,Sublicensee,1,7,,
848,Auditor,Review,Return,7,6,,
849,Siga,Have,Authorized  Right,1,0,,
850,Cht,Maintain,Book,1,6,,
851,Cht,Provide,Ehave,1,1,,
852,Cht,Provide To,Assistance,1,8,,
853,Ehave,Conduct,Audit,1,6,,
854,Cost,Borne By,Ehave,1,1,,
855,Information,Imposed,Confidentiality Obligation,1,0,,
856,Ehave,Conduct,Result,8,8,,
857,Constellation,Allow,Hof Entity,1,8,,
858,Fund,Furnish,Integrity,6,8,,
859,Company,Have,Right,1,0,,
860,Party,Make,Tsa Record,0,8,,
861,Access,Exercised By,Party,8,0,,
862,Reviewing  Party,Have,Right,7,0,,
863,Access,Provided,Dispute,8,8,,
864,Rghl,Retain,Book,1,6,,
865,Servicer,Give,Issuer,6,6,,
866,Custodian,Give,Servicer,1,6,,
867,Custodian,Give,Depositor,1,6,,
868,Access,Conducted At,Custodian,8,1,,
869,Frequency,Exceed,One ,8,8,,
870,Licensor,Have,Right,7,0,,
871,Party,Have,Right,0,0,,
872,Audit,Require,Carrier,6,6,,
873,Party,Allow,Accounting Firm,0,1,,
875,Inspection,Conducted In,Manner,8,8,,
876,I Escrow,Pay,Cost,1,6,,
877,Party,Have,Right,0,0,,
878,Verticalnet,Have,Right,1,0,,
879,Verticalnet,Give,Reasonable Advance Notice,1,8,,
881,Verticalnet,Have,Right,1,0,,
882,Verticalnet,Give,Reasonable Advance Notice,1,8,,
883,Party,Have,Auditing Right,0,0,,
884,Auditing Party,Cause,Auditor,7,7,,
885,Auditing Party,Give,Written  Notice,7,8,,
886,Party,Have,Auditing Right,0,7,,
887,Nettaxi,Have,Right,1,0,,
888,Billing Party,Have,Right,0,0,,
889,Inspection,Conducted In,Manner,8,8,,
890,Party,Inspect,Record,0,8,,
891,Mbe,Permit,Company,1,1,,
892,Audit,Be Performed By,Ncm,6,1,,
893,Party,Make,Book,0,6,,
895,Period,Be Subject To,Audit,8,6,,
896,Ncm,Have,Authorized  Right,1,0,,
897,Party,Entitled To,Report,0,6,,
898,Party,Provide To,Quartly Report,0,6,,
899,Quarterly Report,Initiated,Accuracy,6,8,,
900,Payor,Have,Right,6,0,,
901,Payor,Pay,Deficiency,6,6,,
902,Payor,Have,Right,6,0,,
903,Payor,Pay,Deficiency,6,6,,
904,Equidatum,Audit,Marketing Affiliate,1,1,,
905,Equidatum,Inspect,Marketing Affiliate,1,1,,
906,Affiliate,Have,Right,1,0,,
907,Network,Have,Right,6,0,,
908,Theismann,Have,Right,1,0,,
909,Theismann,Have,Access,1,8,,
910,Book,Made Accessible To,Theismann,6,1,,
911,Csa,Have,Right,1,0,,
912,Company,Make,Book,1,6,,
913,Payable  Method,Used,Royalty,6,8,,
914,Prompt Adjustment,Made By,Party,8,0,,
915,Xencor,Bear,Cost,1,6,,
916,Wpd,Cause,Respective  Affiliate,1,1,,
917,Licensee,Make,Accuracy,7,8,,
918,Audit,Be For,Specific Purpose,6,8,,
919,Abbvie,Permit,Public Accounting Firm,1,1,,
920,Lea,Keep,Written  Record,1,8,,
921,Eutectix,Provide,Liquidmetal,1,5,,
922,Eutectix,Maintain,Storage Bookkeeping,1,8,,
923,Record,Retained By,Licensee,8,7,,
924,Pb,Conduct,Inspection,1,8,,
925,Executive Officer,Meet With,Financial  Condition,7,6,,
926,Sanofi,Have,Right,1,0,,
927,Audit,Concern,Book,6,6,,
928,Auditing Party,Bear,Cost,0,6,,
929,Qualigen,Provide,Sekisui,1,1,,
930,Sekisui,Have,Option,1,8,,
931,Sekisui,Perform,Audit,1,6,,
932,Auditing Party,Have,Right,7,0,,
933,Zynga,Permit,Record,1,8,,
935,Licensor,Have,Right,7,0,,
936,Hswi,Provide,Assistance,1,8,,
937,Audit,Conducted Upon,Notice,6,8,,
938,Audit,Conducted By,Public Accounting Firm,6,1,,
939,Audit,Conducted In,Month Period,6,8,,
940,Record,Be Available For,Examination,8,8,,
941,Distributor,Permit,Public  Accountant,6,7,,
942,Prompt Adjustment,Made By,Party,8,0,,
943,Inspection,Paid By,Underpayment,8,6,,
944,Zogenix,Have,Right,1,0,,
946,I,Have,Ongoing  Right,2,0,,
947,I,Reserve,Right,2,0,,
948,I,Interview,Employee,2,6,,
949,You,Use,Proprietary Mark,2,8,,
951,I,Conduct,Examination,2,8,,
953,Ef,Have,Authorized Right,1,0,,
954,Client,Have,Right,6,0,,
955,Distributor,Make,Relevant  Record,6,8,,
956,Customer,Grant,Right,6,0,,
957,Customer,Pay To,Cisco,6,1,,
958,Heritage,Permit,Premier,8,8,,
959,Heritage,Allow,Premier Access,8,8,,
960,Premier,Have,Right,8,0,,
961,Pretzel Time,Have,Right,1,0,,
962,Franchisee,Cooperate With,Pretzel Time,6,1,,
963,Audit,Conducted At,Cost,6,6,,
964,Franchisee,Obligated,Ten Thousand Ten Dollar,6,8,,
965,Pretzel Time,Have,Right,1,0,,
966,Franchisee,Present To,Customer,6,6,,
967,Diplomat,Make,Examination,8,8,,
968,Diplomat,Required,Tadeo,8,1,,
969,Tadeo,Require,Diplomat,1,8,,
970,You,Have,Right,2,0,,
971,You,Make Available,Book,2,6,,
973,I,Access,Information System,2,8,,
974,I,Have,Designated  Right,2,0,,
975,I,Have,Right,2,0,,
976,You,Reimburse,Me,2,2,,
977,Merchant,Make,Access,6,8,,
979,Servicer,Maintain,Book,6,6,,
980,Sub Advisor,Maintain,Record,7,8,,
981,Sub Advisor,Provide To,Information,7,8,,
982,Adviser,Make Available,Record,7,8,,
983,Administrator,Provide,Copy,7,8,,
984,Party,Acknowledge,Right,0,0,,
986,Book,Retained By,Licensee,6,7,,
987,Iso,Permit,Servicers  Employee,1,6,,
988,Directly  Servicer,Permit,Servicers  Employee,6,6,,
989,Client,Cause,Certified Public Accountant,7,7,,
990,Auditright,Continue For,One Year,0,8,,
991,Intuit,Cause,Certified Public Accountant,8,7,,
992,Client,Review,Record,7,8,,
994,Ivillage Traffic,Audited By,Fmm,1,1,,
995,Traffic Report,Audited By,Third Party,8,0,,
996,Excite,Cause,Certified Public Accountant,8,7,,
997,Case Sponsor,Be Responsible For,Payment,7,6,,
998,Company,Inspect,Document,1,8,,
999,Contractor,Supply,Copy,7,8,,
1000,Action,Include,Cooperating,8,8,,
1001,Contractor,Permit,Company,7,1,,
1002,Datec,Give,Full  Access,1,8,,
1003,Bsp,Audit,Supplier,1,6,,
1005,Compliance,Subject To,Limitation,0,8,,
1006,Audit,Coordinated With,Contractor,6,7,,
1007,Contractor,Provide,Audits Designee,7,7,,
1008,Shp,Have,Right,1,0,,
1009,Audit,Conducted At,Designated Location,6,8,,
1010,M&I,Cause,Third Party Review,1,0,,
1011,M&I,Provide Without,Copy,1,8,,
1012,Party,Agree,Jurisdiction,0,0,,
1013,Dolphin,Permit,Authorized  Representative,1,0,,
1014,Ibm,Perform,Audit,1,6,,
1015,Ibm,Advise,Msl,1,1,,
1016,Msl,Be Given,Opportunity,1,8,,
1017,Ibm,Provide,Written Documentation,1,8,,
1018,Msl,Required,Audit Report,1,6,,
1019,Ibm,Have,Right,1,0,,
1020,Ibm,Monitor,Software Installation Location,1,3,,
1021,Ibm,Have,Option,1,8,,
1022,Designated  Team,Initiated Within,Compliance,8,8,,
1023,Audit,Made Of,Book,6,6,,
1024,Msl,Provide,Audit,1,6,,
1025,Msl,Permit,Ibm Personnel,1,8,,
1026,Wyzz,Have,Right,1,0,,
1027,Hsn,Agree To,E.Piphany,1,1,,
1028,Hsn,Provide,E.Piphany,1,1,,
1029,Hsn,Furnish,E.Piphany,1,1,,
1030,Medianet,Permit,Member Provider,1,8,,
1032,Cost,Borne By,Company,6,1,,
1033,Repairer,Give,Notice,7,8,,
1035,Repairer,Have,Right,7,0,,
1036,Company,Provide Full,Full  Access,1,8,,
1037,Supplier,Provide To,Access,6,8,,
1038,Supplier,Provide At,Product,6,5,,
1039,Bank Of America,Reserve,Right,1,0,,
1040,Supplier,Provide,Bank,6,1,,
1041,Supplier,Provide,Copy,6,8,,
1043,Bank Of America,Perform,Confidential Audit,1,0,,
1044,Audit,Conducted On,Written  Notice,6,8,,
1045,Supplier,Provide,Access,6,8,,
1046,Upper Supplier,Acknowledge,Supplier,6,6,,
1047,Bank Of America,Audit,Supplier,1,6,,
1048,Bank Of America,Determine,Scope,1,8,,
1049,Supplier,Deliver To,Bank Of America,6,1,,
1050,Supplier,Permit,Bank,6,1,,
1051,Agreement,Permit,Likewise  Bank,6,1,,
1052,Bank Of America,Review,Record,1,8,,
1053,Herein  Cbc,Permit,Mediwound,1,1,,
1054,Record,Be Available For,Inspection,8,8,,
1055,Licensee,Authorized,Agent,7,7,,
1056,Audit,Conducted In,Required Manner,6,8,,
1057,Bellicum,Conduct,Facility Audit,1,6,,
1058,Flotek,Have,Right,1,0,,
1059,Inspection,Is Upon,Notice,8,8,,
1061,Other  Party,Permit,Public Accounting Firm,0,1,,
1062,Accounting Firm,Disclose To,Requesting Party,1,0,,
1063,Information,Provided To,Requesting Party,8,0,,
1064,Right,Remain In,Effect,0,8,,
1066,Party,Cause,Public Accounting Firm,0,1,,
1067,Accounting Firm,Execute,Written Confidentiality Agreement,1,0,,
1068,Dd,Make,Record,1,8,,
